"","time","sp_richn","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4","fred","raoQ","simpson"
"24","24",63,0.591988141439956,0.633166590357618,0.465847355528645,0.826499,0.511565185354481,0.810647228133899,0.300751162997723,0.497445977006301,-0.00485643861116974,0.014821264261572,-0.00313295460678555,-0.0078495979641018,0.301187701421063,0.687720039871334,0.984126984126982
"25","25",63,0.591988141439956,0.633166590357618,0.465847355528645,0.826499,0.511565185354481,0.810647228133899,0.300751162997723,0.497445977006301,-0.00485643861116974,0.014821264261572,-0.00313295460678555,-0.0078495979641018,0.301187701421063,0.687720039871334,0.984126984126982
"26","26",69,0.585309075664961,0.626716581771352,0.46093222660737,0.827481,0.522816471618727,0.801978732746091,0.295960767658591,0.49277908430498,-0.0158309107309684,0.0121676878719606,-0.0038422826711384,-0.014820411598446,0.299383294052579,0.690462840643835,0.98550724637681
"27","27",69,0.585309075664961,0.626716581771352,0.46093222660737,0.827481,0.522816471618727,0.801978732746091,0.295960767658591,0.49277908430498,-0.0158309107309684,0.0121676878719606,-0.0038422826711384,-0.014820411598446,0.299383294052579,0.690462840643835,0.98550724637681
"28","28",69,0.585309075664961,0.626716581771352,0.46093222660737,0.827481,0.522816471618727,0.801978732746091,0.295960767658591,0.49277908430498,-0.0158309107309684,0.0121676878719606,-0.0038422826711384,-0.014820411598446,0.299383294052579,0.690462840643835,0.98550724637681
"29","29",69,0.585309075664961,0.626716581771352,0.46093222660737,0.827481,0.522816471618727,0.801978732746091,0.295960767658591,0.49277908430498,-0.0158309107309684,0.0121676878719606,-0.0038422826711384,-0.014820411598446,0.299383294052579,0.690462840643835,0.98550724637681
"30","30",73,0.596348469630273,0.639498973275669,0.471101904309409,0.82318,0.576888570174465,0.801037837529753,0.289282041661674,0.50055516878965,-0.0134608483401841,0.0108461843987883,0.0014576754579701,-0.0043545107033313,0.29621617713712,0.694142948577088,0.986301369863016
"31","31",79,0.584802665517064,0.626443786133273,0.453372499565871,0.808833,0.580368002507564,0.799907606196164,0.279503407144801,0.492834913651668,-0.0104308953528987,0.0101627174221938,-0.00694300065515153,-0.0141184681125857,0.303012350565175,0.688165020960965,0.987341772151897
"32","32",79,0.584802665517064,0.626443786133273,0.453372499565871,0.808833,0.580368002507564,0.799907606196164,0.279503407144801,0.492834913651668,-0.0104308953528987,0.0101627174221938,-0.00694300065515153,-0.0141184681125857,0.303012350565175,0.688165020960965,0.987341772151897
"33","33",76,0.587414859318206,0.629322843586633,0.461126455233854,0.808667,0.577000255547519,0.797581046772329,0.280961693835436,0.495535699694648,-0.0153188158496174,0.00803316657300639,-0.0116757216067316,-0.0125252132515872,0.30510207287814,0.685754533343941,0.986842105263159
"34","34",76,0.576038928780982,0.616907444402862,0.456501004470066,0.813769,0.547040012468186,0.793517769506876,0.285075113498894,0.487577430364189,-0.0226220975044426,0.0113617764384644,-0.0175082226083834,-0.016207273398908,0.308559060496308,0.68234303240496,0.986842105263159
"35","35",80,0.578277297529249,0.621872211530948,0.455356959145873,0.791621,0.675741067055158,0.783486098686972,0.280444361363746,0.489109869371299,-0.0209051940455633,-0.0017622060616623,-0.0207793433071515,-0.00502110712193488,0.30703590590931,0.684302042914556,0.987499999999998
"36","36",81,0.583355467985076,0.627194426466648,0.453425150615504,0.794488,0.675755511087883,0.782271652312318,0.284012388128945,0.493244344369371,-0.0256292982444773,0.00159089839390122,-0.0187274373672498,-0.00524175658110896,0.3057926578633,0.685636881122668,0.987654320987656
"37","37",81,0.584772777252835,0.628224158356339,0.449758107400546,0.789707,0.667536512700769,0.784177315282236,0.282366715636909,0.493958520778517,-0.0223261561024799,-0.0010738251234545,-0.0183203333626286,-0.00510756731088142,0.303851566068892,0.687554008820848,0.987654320987656
"38","38",72,0.585884480669956,0.631292256789312,0.475782787193867,0.806563,0.59918994329606,0.779578936932316,0.282307287769115,0.494368310244953,-0.0325181490001282,6.76725149266241e-05,-0.0108878562025491,-0.0038226729446816,0.303309346329882,0.687014394591366,0.986111111111109
"39","39",70,0.590390920419141,0.636085606296979,0.485610940299068,0.805985,0.597953197828502,0.784016331519491,0.283427381562274,0.497872689742962,-0.0311858130987892,-0.00439836830150191,-0.0100398472396361,-0.00370212105523872,0.300358861046842,0.68964626553954,0.985714285714284
"40","40",69,0.578292985936464,0.623320410904892,0.478371278061895,0.803614,0.568253711718856,0.784691512035833,0.285283482970132,0.4882923869028,-0.022130554927195,-0.00169092674382119,-0.0136959662232361,-0.00745395700443404,0.303828390996484,0.686082165394768,0.98550724637681
"41","41",83,0.5798938577301,0.622545112205862,0.438540871050773,0.782685,0.623057750484707,0.806077339362234,0.295414855381904,0.488995813802646,0.000370070762676293,-0.0247195964396477,-0.00345775602100719,0.00234114481095473,0.302834890868,0.688765529503905,0.987951807228917
"42","42",85,0.58570965692028,0.628523462680115,0.436925214183115,0.788934,0.641519480639705,0.805705511705783,0.300347099692429,0.493783519739511,0.00956418404466497,-0.021775531383062,-0.00119420141136718,0.000704648374066913,0.299581843292774,0.692177943098905,0.988235294117646
"43","43",84,0.585759325123907,0.628814749041149,0.445438132951031,0.790399,0.641519480639705,0.804133270761308,0.301259485147429,0.493797723181436,0.00681316393621011,-0.0233227682611366,0.000366510435060327,-0.000115770933296402,0.299170322333945,0.692486467217649,0.988095238095237
"44","44",68,0.603948066913548,0.645861016962939,0.449030079518936,0.80486,0.52249739041743,0.805060771187371,0.30946583269586,0.507622667552716,0.0169033343222452,-0.0131380737826085,0.0134902322595083,0.00766137890502518,0.286558428960125,0.702949783230464,0.985294117647057
"45","45",66,0.604563419876228,0.647330001685154,0.460197518947472,0.819493,0.522937604741533,0.804352325635337,0.309779848742948,0.507601378150435,0.0148514360710281,-0.00744950188791893,0.0145060018045836,0.00496334483938414,0.287955083825826,0.701256356838201,0.984848484848484
"46","46",64,0.605799008586746,0.648798737523499,0.468432869682124,0.812387,0.516652063967834,0.803621840373295,0.309261797987487,0.508925233862939,0.0153400690313119,-0.00930148402476325,0.012310204656851,0.00474610161523705,0.288746413520049,0.700140249191202,0.984375
"47","47",63,0.600693116683071,0.643445449214908,0.459965252260267,0.801068,0.515397950334116,0.806417866446651,0.303098698588346,0.505732693666928,0.0234476673246634,-0.0125716059711945,0.0114245866424543,0.00668481152079989,0.289607461852948,0.699116466112971,0.984126984126982
"48","48",85,0.661355729040828,0.698896698765808,0.415884757196936,0.792716,0.691070227015257,0.822372490292637,0.296173822995982,0.556793902111155,-0.0359477669304978,-0.0370803695188701,0.0203942008751157,0.0217864671459808,0.279907140962187,0.71162117834325,0.988235294117646
"49","49",84,0.663011601507373,0.700448896386537,0.415483276220485,0.790137,0.685534687508311,0.822285890913342,0.29620767830883,0.557781740046789,-0.0350591704351118,-0.0353858027318756,0.0230369234321503,0.0219848867924247,0.279085679366596,0.712332007292529,0.988095238095237
"50","50",84,0.663011601507373,0.700448896386537,0.415483276220485,0.790137,0.685534687508311,0.822285890913342,0.29620767830883,0.557781740046789,-0.0350591704351118,-0.0353858027318756,0.0230369234321503,0.0219848867924247,0.279085679366596,0.712332007292529,0.988095238095237
"51","51",84,0.663011601507373,0.700448896386537,0.415483276220485,0.790137,0.685534687508311,0.822285890913342,0.29620767830883,0.557781740046789,-0.0350591704351118,-0.0353858027318756,0.0230369234321503,0.0219848867924247,0.279085679366596,0.712332007292529,0.988095238095237
"52","52",84,0.664315934430867,0.70226553952413,0.426304903453714,0.791333,0.716233437481689,0.821182682881675,0.298831282502742,0.559245097155617,-0.0358212681647963,-0.0361477763248807,0.020414238051207,0.0264543718340695,0.278271902520126,0.713136096319399,0.988095238095237
"53","53",83,0.663909649978291,0.701835573770885,0.425431141036026,0.789373,0.716233437481689,0.820035036096057,0.299488626666792,0.559698162244977,-0.0389335525483161,-0.0386974336243133,0.0196388216746582,0.02828035869061,0.279222436433997,0.712093496535089,0.987951807228917
