"","time","msimpson","mraoQ","mfred","mfric","mfeve","mfspe","mfdis","mfdiv","mfori","mTaxRich","sd.simpson","sd.raoQ","sd.fred","sd.fric","sd.feve","sd.fspe","sd.fdis","sd.fdiv","sd.fori","sd.TaxRich","n.fric","se.simpson","se.raoQ","se.fred","se.fric","se.feve","se.fspe","se.fdis","se.fdiv","se.fori","se.TaxRich","lower.ci.simpson","upper.ci.simpson","lower.ci.raoQ","upper.ci.raoQ","lower.ci.fred","upper.ci.fred","lower.ci.fric","upper.ci.fric","lower.ci.feve","upper.ci.feve","lower.ci.fspe","upper.ci.fspe","lower.ci.fdis","upper.ci.fdis","lower.ci.fdiv","upper.ci.fdiv","lower.ci.fori","upper.ci.fori","lower.ci.TaxRich","upper.ci.TaxRich"
"25","24",0.979772138225785,0.683796115126627,0.30208595279283,0.455517164566356,0.797973885938758,0.488264858973677,0.577442897043638,0.772296651673793,0.276289513790911,50.1476067919778,0.00246645232223327,0.0112902525028875,0.0114304942421971,0.0815546497037213,0.0228645946604549,0.0241891493769618,0.0297922306931783,0.0169841688234477,0.0206805430533147,5.91944623084631,627505,3.11360939780883e-06,1.42526315954874e-05,1.44296704920205e-05,0.000102953266707621,2.8863893362196e-05,3.05359897477827e-05,3.76092287013994e-05,2.14405391849521e-05,2.61067820456741e-05,0.00747261288939036,0.979766035651732,0.979778240799838,0.683768180428133,0.683824049825121,0.302057671103805,0.302114234481854,0.455315379482304,0.455718949650408,0.797917313638194,0.798030458239321,0.488205009418098,0.488324708529256,0.577369184167715,0.57751660991956,0.772254628908125,0.77233867443946,0.276238345339653,0.276340682242169,50.132960711594,50.1622528723615
"26","25",0.979708220335511,0.683611196363589,0.302230720202889,0.454274750755731,0.796919177244803,0.487991856793644,0.577053667157793,0.771755572903448,0.275752314583915,50.0227982247153,0.00252710350591045,0.0117895286290529,0.0118510724366943,0.0845987983420895,0.0226069461018603,0.0244023080703548,0.0301939466937616,0.0167080482649255,0.0213010203603958,6.04910812717709,627505,3.1901744681259e-06,1.48829096772963e-05,1.49606015816245e-05,0.000106796150562829,2.85386420017134e-05,3.08050778242033e-05,3.8116348463412e-05,2.1091969071436e-05,2.68900625319985e-05,0.00763629596378594,0.979701967696389,0.979714472974634,0.683582026340371,0.683640366386806,0.302201397906044,0.302260042499735,0.454065433743198,0.454484067768263,0.796863242426422,0.796975112063184,0.48793147983411,0.488052233753179,0.576978960343484,0.577128373972102,0.771714233323966,0.771796912482929,0.275699610928152,0.275805018239677,50.007831330782,50.0377651186486
"27","26",0.981032046117948,0.684595102560909,0.302168358506415,0.48066898001111,0.796778520053227,0.488784430732713,0.578473705021659,0.772108595359825,0.276364770073045,53.4517350459359,0.00227263837479758,0.0112737999586526,0.0113886564751526,0.0815084888619189,0.0220552535360741,0.0234813826698514,0.0290692466911997,0.0158891600946693,0.0198983737171468,6.19509238448106,627505,2.86894181485074e-06,1.42318621705584e-05,1.43768551736463e-05,0.000102894994009807,2.78421942568903e-05,2.96425165389757e-05,3.66965454264242e-05,2.00582179303008e-05,2.51193841649946e-05,0.00782058412187294,0.981026423084471,0.981037669151424,0.684567208569818,0.684622996552,0.302140180333712,0.302196536679118,0.480467309139668,0.480870650882553,0.796723950249975,0.796833089856478,0.488726332355822,0.488842529109604,0.578401780975535,0.578545629067783,0.772069281899258,0.772147908820392,0.276315536889805,0.276414003256286,53.4364069531533,53.4670631387185
"28","27",0.98093948140521,0.684619200074676,0.30207880132937,0.478389571099986,0.796301954440204,0.488674970198576,0.578254899151101,0.771930229036824,0.276259607689015,53.1668624154389,0.00223842066612085,0.011186233927971,0.0112495096970661,0.0808900562008388,0.0220551316846294,0.023044733308758,0.0286483695464242,0.0161856659312051,0.0200109855601362,6.06624389254467,627505,2.82574593453837e-06,1.41213202340282e-05,1.42011985383976e-05,0.000102114294651424,2.78420404336033e-05,2.90912974693865e-05,3.61652369468387e-05,2.04325220880666e-05,2.52615435286586e-05,0.00765792787598882,0.980933943034266,0.980945019776154,0.684591522742218,0.684646877407135,0.30205096743801,0.302106635220731,0.47818943037412,0.478589711825852,0.796247384938441,0.796356523941966,0.488617952193293,0.488731988203859,0.57818401645247,0.578325781849732,0.771890181952173,0.771970276121475,0.276210095878004,0.276309119500026,53.151853123655,53.1818717072228
"29","28",0.981005779073491,0.684516601423332,0.30222933559109,0.476819093673075,0.796513959093553,0.487726098057369,0.577133200260087,0.771710687438978,0.276356310186955,53.3823379893387,0.00227588479625623,0.0112170363965957,0.0113499619060244,0.0814980297903416,0.0220766302301332,0.0234406540670267,0.0290210665110378,0.0159839442841821,0.0195069983497658,6.21743624875892,627505,2.87304004463276e-06,1.4160204770705e-05,1.43280077773291e-05,0.000102881790647528,2.78691798486719e-05,2.95911014115185e-05,3.66357235486251e-05,2.01778719534378e-05,2.46253182505782e-05,0.00784879065364806,0.981000148007616,0.981011410139366,0.684488847878435,0.684544354968229,0.30220125315771,0.302257418024471,0.476617448679797,0.477020738666353,0.796459336399412,0.796568581787694,0.487668100452471,0.487784095662268,0.577061395422883,0.577205005097291,0.771671139460382,0.771750235417574,0.27630804535698,0.27640457501693,53.3669546126631,53.3977213660144
"30","29",0.980922646871125,0.684448467546552,0.302239887930997,0.476112609657756,0.796377082147553,0.488019361115389,0.577323235058345,0.771935993883903,0.275773532031063,53.134958287185,0.00226593250063212,0.0110655696189318,0.0111829146602382,0.0810384406084575,0.0223867905021392,0.0229047448993228,0.0284583153931145,0.0163458154585298,0.0204806590181278,6.1247847004141,627505,2.86047642809508e-06,1.39689955678598e-05,1.41171300442915e-05,0.00010230161272033,2.82607211442564e-05,2.8914578372377e-05,3.59253156669892e-05,2.06346922532216e-05,2.58544516824153e-05,0.00773182884212325,0.980917040429534,0.980928253312717,0.684421088765529,0.684475846327575,0.302212218811176,0.302267557050819,0.475912101794513,0.476313117520999,0.796321692045093,0.796432472250012,0.48796268947384,0.488076032756939,0.577252822597689,0.577393647519001,0.771895550552246,0.771976437215561,0.275722858139183,0.275824205922943,53.1198041518896,53.1501124224803
"31","3",0.980248076742235,0.684107720363773,0.3021081561218,0.465001700723724,0.798115977023291,0.488233081825678,0.577577545040781,0.772122100316036,0.276633122102392,51.3361949307177,0.00237759961851652,0.0116275851233539,0.0117101999823182,0.0805335881964774,0.0228456448535811,0.0241155860816231,0.0299193088431013,0.0165318949101646,0.0204552805500691,5.97130353367428,627505,3.00144318611304e-06,1.46784748229456e-05,1.47827664806238e-05,0.000101664295225774,2.88399714334253e-05,3.044312463718e-05,3.77696500962465e-05,2.0869595934159e-05,2.58224143160582e-05,0.00753807670718839,0.980242194010342,0.980253959474128,0.68407895102628,0.684136489701266,0.30207918237602,0.30213712986758,0.464802441982226,0.465200959465221,0.798059451608937,0.798172502437645,0.488173414282722,0.488292749368634,0.577503517744095,0.577651572337466,0.772081196580735,0.772163004051336,0.276582511002717,0.276683733202067,51.3214205433612,51.3509693180741
"32","30",0.981900796488459,0.685319620861371,0.302047904864791,0.496938274598673,0.795898702075681,0.488569542096315,0.578380046781265,0.772033930787064,0.276152091680191,55.9643142285719,0.00208643226781656,0.0107525587638575,0.0108598568156456,0.0803169380494532,0.0214834701565359,0.0221749532875045,0.0275370584558611,0.0155864403028555,0.0194797176938371,6.26503493735874,627505,2.63387824625902e-06,1.35738557424554e-05,1.37093070623136e-05,0.000101390799594932,2.71203841947241e-05,2.79933012811815e-05,3.4762335855147e-05,1.96760693762023e-05,2.45908795931138e-05,0.00790887846593287,0.981895634172,0.981905958804919,0.685293016541669,0.685346225181074,0.302021035064868,0.302074774664715,0.496739551899796,0.49713699729755,0.795845546996884,0.795951857154478,0.488514676128167,0.488624408064463,0.578311913723551,0.578448179838978,0.771995366325344,0.772072495248784,0.276103894348874,0.276200289011507,55.9488130817211,55.9798153754227
"33","31",0.983147670396385,0.685971566301523,0.302270519885737,0.518871594050309,0.795581773823316,0.487926074307167,0.578108980420819,0.772514947911949,0.276312686199992,60.0286515645294,0.00184127790694241,0.0101775670993307,0.0102406503875545,0.0788940005361739,0.0201200861408479,0.0210456920168926,0.0261006823576435,0.0149808751863475,0.018919254812471,6.3857092396267,627505,2.32439935828261e-06,1.28479955933683e-05,1.29276309130084e-05,9.95945063627845e-05,2.53992703317873e-05,2.65677401734059e-05,3.29490779713908e-05,1.89116137973339e-05,2.38833603441853e-05,0.00806121574739118,0.98314311464857,0.9831522261442,0.685946384644315,0.685996747958731,0.302245182145869,0.302295857625605,0.518676392028264,0.519066796072355,0.79553199207221,0.795631555574422,0.487874002392837,0.487978146221497,0.578044401290107,0.578173559551531,0.772477881758521,0.772552014065376,0.276265875583597,0.276359496816388,60.0128518415175,60.0444512875412
"34","32",0.983188788829715,0.686228323739972,0.30203796463811,0.523471922943386,0.795451840756647,0.488213374691502,0.578482048592249,0.771603207986806,0.275953839695919,60.1566170787484,0.00181215541997406,0.0102764536396701,0.01038364001338,0.0779574394582626,0.0202804619843672,0.021478249941707,0.026531909004357,0.0148193160333982,0.0183061107184861,6.31283957915361,627505,2.28763560319404e-06,1.29728283576355e-05,1.31081386968995e-05,9.8412206852058e-05,2.56017261948347e-05,2.71137942802128e-05,3.34934514943207e-05,1.87076641436589e-05,2.31093371871052e-05,0.00796922627018989,0.983184305137675,0.983193272521756,0.68620289741457,0.686253750065374,0.302012273108805,0.302063656167416,0.52327903819027,0.523664807696502,0.795401662198576,0.795502019314718,0.488160232528725,0.488266516854279,0.578416402506981,0.578547694677518,0.771566541568125,0.771639874405487,0.275908546139961,0.275999133251877,60.1409976521465,60.1722365053502
"35","33",0.983264251567793,0.686057057990159,0.302266232169524,0.522395669404773,0.795044997254205,0.487958224536169,0.578033942001782,0.771602298167016,0.275770722910551,60.3999649405184,0.00176263431994792,0.0101635552454732,0.0102357729572264,0.0794534288649523,0.0205884449825263,0.0213420514216421,0.0264323403796703,0.0150537926840104,0.0184152530747068,6.2177722604488,627505,2.22512096991234e-06,1.28303072563758e-05,1.29214737240899e-05,0.00010030071960931,2.59905189352374e-05,2.69418594780602e-05,3.33677576778391e-05,1.90036636634274e-05,2.32471167269586e-05,0.00784921482935418,0.983259890402418,0.983268612733167,0.686031911001521,0.686082204978797,0.302240906497548,0.3022915578415,0.522199083227529,0.522592255582017,0.794994056674896,0.795095937833515,0.487905419360062,0.488011029712276,0.577968542272342,0.578099341731222,0.771565051598818,0.771639544735214,0.275725159311136,0.275816286509966,60.384580732472,60.4153491485648
"36","34",0.983303690823284,0.686288675806123,0.302057971560636,0.523572776503652,0.794721163597103,0.488364504829882,0.578550538984765,0.771557484664063,0.275557652242514,60.5929737611652,0.00184055788130716,0.0102927875896868,0.0104088867359381,0.0786999050229066,0.0203374177417292,0.0215809581636598,0.0268235197677405,0.0148735270172876,0.0188253957349021,6.42354669547992,627505,2.3234904096018e-06,1.29934480711474e-05,1.3140009749874e-05,9.93494833356884e-05,2.56736262189232e-05,2.72434514733487e-05,3.38615761911529e-05,1.87760992102447e-05,2.37648741673579e-05,0.00810898113781522,0.983299136856979,0.983308244789589,0.686263209066747,0.686314142545499,0.302032217565094,0.302083725556178,0.523378054718841,0.523767498288463,0.794670844117302,0.794771483076903,0.488311108543186,0.488417901116578,0.578484171386958,0.578616906582573,0.771520684114858,0.771594285213268,0.275511073855206,0.275604230629822,60.5770804195279,60.6088671028026
"37","35",0.9830890754018,0.686194869335244,0.302001125237576,0.518970439669421,0.794876555649756,0.4883957717102,0.578567537411022,0.771905883038492,0.27559705895706,59.8394737890535,0.00188110562920742,0.01020550555923,0.0103110553001497,0.0794497350682447,0.02071380892361,0.0214654414578835,0.0264840142300335,0.0150039039326607,0.0184611045370206,6.42371179861275,627505,2.37467722873638e-06,1.28832646518936e-05,1.30165089324748e-05,0.000100296056620272,2.61487763406557e-05,2.70976250580287e-05,3.34329899082218e-05,1.89406849130794e-05,2.33049988691257e-05,0.00810918956133161,0.983084421110979,0.983093729692621,0.686169618551818,0.68622012011867,0.301975613299655,0.302026637175497,0.518773862631485,0.519167016707357,0.794825304891033,0.794927806408479,0.488342661238577,0.488448882181823,0.578502009828513,0.578633064993531,0.771868759906615,0.771943006170369,0.275551381910513,0.275642736003608,59.8235800389127,59.8553675391942
"38","36",0.982877704121198,0.685827021301806,0.302225705919809,0.513638209038236,0.795707584395344,0.488188563126392,0.578292870159362,0.772181683738728,0.275998562251728,59.1105505135417,0.0019204307728748,0.0102100332595417,0.0102856194175504,0.0782589742957897,0.0203069836508808,0.0212069339030785,0.0262222588532466,0.0149458057218194,0.0187074046705143,6.39533898984494,627505,2.42432065212195e-06,1.28889803473132e-05,1.29843990869332e-05,9.87928595390887e-05,2.56352067163749e-05,2.67712893146657e-05,3.31025541670789e-05,1.88673426742528e-05,2.36159241618688e-05,0.00807337218784121,0.982872952530868,0.982882455711528,0.685801759315801,0.685852283287811,0.30220025691615,0.302251154923467,0.513444578218123,0.513831839858348,0.795657340216529,0.795757828574158,0.488136092262307,0.488241033990478,0.578227990220254,0.578357750098469,0.772144704355274,0.772218663122181,0.275952275801629,0.276044848701827,59.0947269642984,59.126374062785
"39","37",0.982851709520829,0.685864493529309,0.30216930405887,0.514628272905018,0.795490569122158,0.488193847185207,0.578197532180187,0.771654893298457,0.275951870512329,59.0139584545143,0.00191540527215026,0.0104267513920998,0.0104968864535778,0.0809733419508808,0.0202475517655809,0.0214970969305538,0.0266386928504727,0.0152733717892644,0.0188852566182899,6.34227777650415,627505,2.41797654153705e-06,1.31625618019905e-05,1.32510991657843e-05,0.000102219433231114,2.55601808685484e-05,2.71375864131743e-05,3.36282536892803e-05,1.92808567636217e-05,2.38404415754109e-05,0.00800638857294309,0.982846970364751,0.982856448676907,0.685838695332472,0.685890291726146,0.302143332331654,0.302195275786087,0.514427926110925,0.514828619699111,0.795440471991588,0.795540666252729,0.488140658390616,0.488247035979798,0.578131621886961,0.578263442473412,0.771617103440718,0.771692683156196,0.275905144015337,0.275998597009321,58.998266190997,59.0296507180316
"40","38",0.981558346403857,0.685060459668012,0.30206856200267,0.489296094960989,0.796371578636027,0.488280732596665,0.577963277007259,0.771831664014226,0.276325379061201,54.9394411199911,0.00214902241143717,0.0107246330480779,0.0108205045945495,0.0809110387063936,0.0212530787905452,0.0225120756627014,0.0279167447107628,0.0159836019346025,0.0196983274827701,6.21222844130569,627505,2.71289102815251e-06,1.35386027719e-05,1.36596294568213e-05,0.000102140782626032,2.68295418719854e-05,2.84188790984225e-05,3.52416456236044e-05,2.01774397768825e-05,2.48668490441098e-05,0.00784221640200647,0.981553029224892,0.981563663582822,0.685033924442996,0.685086994893029,0.302041789569253,0.302095334436088,0.489095902319546,0.489496287602431,0.796318993598807,0.796424163673247,0.488225032509713,0.488336432683616,0.57789420451785,0.578032349496668,0.771792116882683,0.77187121114577,0.276276640838657,0.276374117283746,54.9240706286367,54.9548116113454
"41","39",0.981163769122306,0.684582159187085,0.30227563889797,0.480661988494643,0.79666351469072,0.488389376443012,0.577939458956406,0.771950766385199,0.275593208790052,53.8386004892391,0.00227038919131811,0.0112266853627055,0.0113124818513625,0.0824012705609364,0.0220873714219955,0.023019459924377,0.0285786926603946,0.0158698598025924,0.0195414055938668,6.3090198383865,627505,2.86610248211524e-06,1.41723854689849e-05,1.42806935643708e-05,0.00010402202714286,2.78827393550221e-05,2.90593927589594e-05,3.60772779762978e-05,2.00338535546956e-05,2.46687533973354e-05,0.00796440429141394,0.981158151653829,0.981169386590782,0.684554381768412,0.684609936605758,0.302247649198922,0.302303628597019,0.48045810867459,0.480865868314697,0.796608865420383,0.796718163961056,0.488332420969933,0.488446331916091,0.577868748654522,0.57801016925829,0.771911500678022,0.771990032092376,0.275544858828589,0.275641558751514,53.8229905135602,53.854210464918
"42","4",0.97923672648844,0.683269724674709,0.302242621798252,0.447614461116913,0.797974239961435,0.488154500801193,0.577106183819,0.771836714632088,0.275830855889592,48.8994175345216,0.00261195376529137,0.0117448896375707,0.0118492731069611,0.0833705825052724,0.0232207378293319,0.0247167799268631,0.0306885552253372,0.0170901879406547,0.0212345637744704,5.96181200085553,627505,3.29728805902465e-06,1.48265581386369e-05,1.49583301369603e-05,0.000105245670816037,2.93134827208003e-05,3.12020619941158e-05,3.87407342495341e-05,2.15743759985436e-05,2.68061688160656e-05,0.00752609475014115,0.979230263910132,0.979243189066747,0.683240665098691,0.683298784250728,0.302213303953365,0.302271939643139,0.447408182994704,0.447820739239122,0.797916786480221,0.798031693442648,0.488093345765482,0.488215655836904,0.577030253228678,0.577182114409323,0.77179442955058,0.771878999713596,0.275778316662809,0.275883395116376,48.8846666314148,48.9141684376285
"43","40",0.98081139770513,0.6847092735475,0.30189434243461,0.475350176804442,0.796212295015976,0.488787359303644,0.578346693231235,0.771943313529436,0.275467654226993,52.862007474044,0.00233303169244368,0.0109905776097165,0.0111326453382588,0.0795745827123285,0.0224878154396834,0.0232375279027332,0.0286683648602067,0.0163075524228412,0.0203253771445608,6.23793489705152,627505,2.94518135927359e-06,1.38743268720376e-05,1.40536708677546e-05,0.000100453662260733,2.83882533864632e-05,2.93346782370732e-05,3.61904787065695e-05,2.05863896177177e-05,2.5658426364395e-05,0.00787466781469873,0.980805625244604,0.980817170165657,0.684682080314069,0.684736466780931,0.301866797692729,0.301921887176491,0.475153290864531,0.475547062744352,0.796156654954433,0.796267935077519,0.488729864279901,0.488844854327386,0.578275761059569,0.578417625402901,0.771902964869387,0.771983662189485,0.275417364538417,0.275517943915569,52.8465733789669,52.8774415691212
